ISO,Reciprocal_Constructions
dur,0.0
gug,0.0
bwi,1.0
plt,0.0
xok,0.0
ses,0.0
qvh,1.0
shh,1.0
ddj,1.0
dni,3.0
evn,0.0
tml,0.0
apu,0.0
gae,1.0
pib,0.0
heb,2.0
laj,1.0
khk,0.0
myp,3.0
sag,3.0
nuy,0.0
tar,0.0
sah,0.0
kir,0.0
cgg,0.0
eng,0.0
one,1.0
ckt,0.0
mni,0.0
hix,2.0
tiw,0.0
quz,0.0
bam,0.0
yii,3.0
mzh,1.0
zul,0.0
crn,1.0
kut,0.0
bsk,0.0
nmu,0.0
wmb,1.0
ykg,0.0
rma,3.0
vma,0.0
mam,3.0
ser,1.0
pao,2.0
kan,0.0
rap,1.0
pom,0.0
xer,1.0
ape,3.0
arh,1.0
itl,0.0
cku,0.0
spp,1.0
gbp,0.0
kbd,0.0
yad,1.0
mrc,1.0
pav,1.0
anc,0.0
pes,0.0
niv,0.0
kyh,0.0
hop,2.0
txu,0.0
fud,0.0
arz,0.0
swh,0.0
tub,0.0
kat,0.0
yaq,1.0
ain,0.0
chl,1.0
csw,0.0
abk,0.0
bae,1.0
nee,0.0
mbl,1.0
wic,3.0
bmi,0.0
mlu,1.0
gni,1.0
tae,2.0
wba,1.0
lbz,0.0
ood,2.0
sgz,2.0
xaw,1.0
gyd,0.0
xsu,0.0
lui,1.0
lue,1.0
eve,0.0
wau,0.0
kdd,1.0
kio,1.0
yue,0.0
lkt,0.0
not,0.0
grj,0.0
tzm,0.0
mnf,1.0
mpc,1.0
yux,0.0
aca,0.0
ciw,0.0
cmn,0.0
mph,1.0
yor,1.0
aey,3.0
kgo,1.0
bcq,1.0
krc,0.0
kpj,0.0
gcd,0.0
zmr,0.0
cbs,0.0
tep,3.0
cha,0.0
ote,3.0
ign,0.0
kal,1.0
guc,0.0
tuo,0.0
