ISO,Nonperiphrastic_Causative_Constructions
spp,0.0
ndo,0.0
tuv,0.0
wmb,0.0
uli,0.0
wba,0.0
laj,0.0
tun,1.0
ayc,0.0
mde,0.0
ktz,3.0
csz,0.0
wic,0.0
kal,0.0
kos,0.0
lti,0.0
fut,0.0
wyb,0.0
lbj,0.0
pnw,0.0
ilb,0.0
zul,0.0
kan,0.0
kjg,1.0
awn,0.0
kun,0.0
ewe,2.0
hix,0.0
sah,0.0
bxm,0.0
wnu,0.0
yaq,0.0
ibo,0.0
esu,0.0
kha,0.0
sov,0.0
pan,0.0
sun,0.0
tml,0.0
grt,0.0
yee,1.0
lue,0.0
tzo,0.0
shs,0.0
amp,1.0
kas,0.0
btx,0.0
tus,0.0
yii,0.0
tvl,0.0
nez,0.0
pma,2.0
irk,0.0
jqr,0.0
urb,0.0
fla,0.0
lhu,1.0
dhv,0.0
cho,0.0
bsn,0.0
cui,0.0
pwn,0.0
aey,0.0
tzm,0.0
caq,0.0
tdn,0.0
par,1.0
mtg,0.0
kng,0.0
kin,0.0
tpy,3.0
rej,2.0
ckt,0.0
sna,0.0
kky,0.0
gil,0.0
tel,0.0
evn,0.0
yad,0.0
mqs,0.0
yap,0.0
tsi,0.0
grj,0.0
paw,0.0
khm,0.0
ddj,2.0
iai,0.0
yux,0.0
plt,0.0
lkt,1.0
naq,1.0
ain,0.0
haw,0.0
sza,0.0
pqm,0.0
yor,2.0
yuc,3.0
squ,0.0
bor,0.0
hto,0.0
pjt,1.0
mzh,0.0
crk,0.0
bod,2.0
urf,0.0
mpc,1.0
ahg,0.0
pau,0.0
tiw,0.0
mlm,2.0
dow,0.0
eng,0.0
ywt,1.0
nhg,0.0
aly,0.0
dru,0.0
com,0.0
rap,0.0
one,0.0
mns,0.0
ace,0.0
khk,0.0
crx,1.0
bll,1.0
gug,0.0
bav,0.0
lez,0.0
niy,0.0
vma,0.0
crn,0.0
mva,0.0
lep,0.0
kio,0.0
eky,3.0
myh,0.0
nym,0.0
sin,0.0
sja,0.0
puw,0.0
xsu,0.0
mni,0.0
mnb,0.0
ppl,0.0
myp,0.0
mur,0.0
dih,0.0
bsk,0.0
woe,0.0
niu,0.0
nuy,0.0
mrc,1.0
zmc,0.0
kwi,0.0
arh,0.0
tea,0.0
dif,0.0
kut,0.0
pom,0.0
upv,0.0
kat,0.0
cgg,0.0
gni,2.0
car,0.0
kzj,0.0
aia,0.0
hvn,0.0
niv,0.0
tgc,1.0
pad,0.0
lvk,0.0
guj,0.0
abk,0.0
tnc,0.0
vai,2.0
srs,2.0
brh,0.0
inh,0.0
djk,2.0
ssn,0.0
srb,0.0
yrk,0.0
pes,0.0
hae,0.0
cku,1.0
mbb,0.0
dyo,0.0
heb,0.0
pst,0.0
huz,0.0
ess,0.0
bam,0.0
drl,0.0
pcc,2.0
ket,0.0
rma,1.0
bej,0.0
kpw,3.0
xbr,0.0
ona,0.0
kqz,0.0
kwd,0.0
swh,0.0
kld,0.0
wbv,0.0
xal,0.0
mal,0.0
mph,0.0
mez,0.0
apu,0.0
unr,1.0
nsn,0.0
cha,0.0
bmi,2.0
shi,0.0
mas,0.0
kdd,0.0
nig,0.0
tah,0.0
aro,0.0
pav,3.0
axb,0.0
bdl,0.0
xcw,0.0
cmn,3.0
qvi,0.0
chv,0.0
tli,0.0
tqw,0.0
chl,0.0
ote,2.0
mky,0.0
yle,0.0
bgr,1.0
aji,0.0
ayz,2.0
dta,0.0
kij,2.0
cle,0.0
nav,2.0
