ISO,Polar_Questions
tzo,0.0
tae,1.0
trp,2.0
zmu,0.0
kij,1.0
kha,0.0
bdy,0.0
nam,1.0
tem,0.0
emp,2.0
kfy,0.0
ctp,0.0
wnu,1.0
bqp,0.0
gnr,0.0
ssd,0.0
yia,1.0
anc,0.0
kqz,0.0
sov,0.0
coe,2.0
evn,0.0
lue,0.0
mxp,0.0
gvs,1.0
txx,0.0
dow,0.0
com,0.0
kot,0.0
tzm,0.0
bcq,2.0
jup,4.0
tvt,0.0
nko,0.0
ghs,0.0
mie,0.0
kaa,2.0
dni,2.0
kan,0.0
lbu,1.0
csz,0.0
tay,0.0
hna,0.0
asm,2.0
jar,0.0
khr,0.0
niy,0.0
akc,0.0
kna,0.0
ckt,1.0
csw,0.0
arr,0.0
had,0.0
bdr,0.0
shp,0.0
gdm,0.0
adz,1.0
mlv,1.0
raw,0.0
tbd,2.0
cas,0.0
ssw,0.0
mug,0.0
jya,2.0
ygr,0.0
fub,0.0
aij,1.0
abk,2.0
aiw,2.0
gkn,0.0
nav,0.0
ega,0.0
gde,0.0
wam,2.0
kwn,0.0
aey,0.0
oon,3.0
iwm,0.0
scl,2.0
mhx,0.0
psa,0.0
tll,0.0
div,0.0
taq,0.0
ksd,0.0
krs,0.0
eip,2.0
snc,0.0
mpe,0.0
zaw,0.0
pad,2.0
tzj,0.0
ito,2.0
ttr,0.0
kmo,0.0
hto,1.0
nut,0.0
chp,0.0
mam,0.0
lbj,2.0
urd,0.0
bia,1.0
cko,0.0
yad,0.0
mnw,0.0
kpx,0.0
apn,0.0
sll,2.0
xsi,0.0
mec,1.0
uby,2.0
sed,0.0
ogu,0.0
apr,1.0
sag,0.0
tel,2.0
mek,0.0
mej,0.0
tti,1.0
tso,0.0
tbl,0.0
amn,0.0
der,2.0
tna,0.0
tfr,0.0
fut,0.0
duo,0.0
inh,2.0
ney,0.0
pst,1.0
guj,1.0
zpq,1.0
djj,1.0
ace,0.0
ktz,0.0
gup,0.0
bam,0.0
mni,0.0
izz,0.0
pwn,1.0
yul,0.0
mos,0.0
krc,2.0
des,2.0
lep,0.0
djk,1.0
tya,0.0
mas,0.0
naq,0.0
tex,1.0
tnc,0.0
lui,0.0
rmw,0.0
irh,1.0
som,0.0
sot,1.0
mhi,0.0
dbl,0.0
mbl,0.0
spp,0.0
kig,0.0
nga,0.0
kbd,5.0
aph,2.0
huz,2.0
drd,0.0
chr,0.0
log,0.0
ood,0.0
sme,0.0
saj,1.0
ude,1.0
kvn,1.0
amc,0.0
eky,0.0
mnz,2.0
mva,1.0
thp,0.0
mpc,0.0
kxv,0.0
sza,1.0
peh,2.0
bmi,0.0
tpq,2.0
mkz,0.0
khe,0.0
kgo,2.0
bft,2.0
tac,0.0
kqq,1.0
kpw,0.0
nya,0.0
xsm,0.0
cho,0.0
ifm,0.0
mnr,0.0
lam,0.0
wti,0.0
yaq,0.0
fun,2.0
men,1.0
yii,1.0
one,0.0
mco,0.0
apc,0.0
lbf,2.0
clo,0.0
hoa,1.0
kmn,0.0
shb,0.0
dim,2.0
est,0.0
klr,0.0
jbu,0.0
nnk,1.0
okv,3.0
baa,0.0
xho,0.0
wao,2.0
sob,0.0
tee,0.0
hmt,0.0
wsk,0.0
mfi,1.0
lub,0.0
kfz,0.0
wal,2.0
bnc,0.0
cgg,0.0
dgl,2.0
kto,1.0
squ,0.0
suv,0.0
btx,0.0
pib,0.0
hoc,0.0
zgb,0.0
ngo,1.0
snk,0.0
crk,0.0
khk,0.0
mnx,0.0
kut,0.0
ain,0.0
huv,0.0
ulk,1.0
mcr,0.0
pwg,0.0
urk,0.0
mkj,0.0
ktd,0.0
old,0.0
auc,2.0
agg,2.0
eno,1.0
dru,1.0
ppo,2.0
nia,0.0
css,0.0
kal,2.0
kat,1.0
lun,1.0
teu,0.0
bee,0.0
chx,3.0
kld,0.0
ahk,0.0
hay,1.0
cao,0.0
srq,0.0
mls,2.0
adi,2.0
arz,0.0
cop,0.0
yor,1.0
ann,0.0
tvl,1.0
nyn,1.0
ige,0.0
mep,0.0
cof,2.0
svs,1.0
agd,2.0
mnb,1.0
ary,0.0
arh,3.0
ctd,0.0
ese,0.0
mjw,2.0
ksw,0.0
pau,4.0
faa,2.0
cja,0.0
lgg,0.0
ewe,0.0
mbq,0.0
kab,1.0
myb,0.0
ape,0.0
dju,1.0
nob,4.0
arw,1.0
lac,0.0
mrg,2.0
lln,0.0
unr,0.0
tap,1.0
bgr,0.0
aro,2.0
kzj,0.0
sln,2.0
gcd,0.0
eng,4.0
wig,0.0
mau,0.0
kee,0.0
mez,2.0
nbl,0.0
eme,0.0
was,0.0
rug,1.0
amh,3.0
nrb,0.0
mmn,0.0
oym,0.0
cam,0.0
bbl,0.0
kpm,0.0
xuu,0.0
esu,0.0
mcn,0.0
mev,1.0
imi,0.0
opt,0.0
bdm,0.0
wiy,0.0
kah,0.0
rtm,0.0
snf,0.0
alp,0.0
gyd,1.0
jeb,0.0
trc,0.0
isi,0.0
ewo,0.0
pon,1.0
diz,0.0
kue,2.0
bej,2.0
wic,0.0
tta,2.0
szp,0.0
urb,0.0
amk,0.0
rwa,0.0
arb,0.0
amo,0.0
cir,0.0
yrb,0.0
boi,2.0
psw,1.0
bfu,0.0
wol,0.0
myh,0.0
var,1.0
mcd,0.0
mal,0.0
tvk,1.0
niv,0.0
adj,0.0
shk,1.0
avi,0.0
ahg,2.0
shi,3.0
jae,0.0
zav,0.0
pom,2.0
hnh,0.0
sid,1.0
lhu,0.0
peb,2.0
erg,0.0
gdq,1.0
laj,1.0
iai,0.0
chb,2.0
sei,0.0
zai,0.0
mok,0.0
plt,0.0
bfw,2.0
xal,2.0
iba,0.0
nio,2.0
hix,1.0
sip,0.0
mar,0.0
nbc,3.0
amp,1.0
ijc,2.0
dta,0.0
blc,2.0
skv,0.0
uli,1.0
wlg,1.0
ntp,0.0
tio,1.0
nrz,0.0
igb,0.0
mrt,0.0
dyo,1.0
bwe,0.0
mpk,0.0
sua,1.0
cod,0.0
ogo,2.0
nez,0.0
plg,0.0
mkf,0.0
aty,0.0
sbc,0.0
imn,0.0
xed,0.0
pbb,2.0
mhk,0.0
bfa,0.0
heb,0.0
yue,0.0
ctm,0.0
mjg,2.0
duu,0.0
acn,0.0
aka,0.0
ayc,0.0
bho,0.0
gbp,0.0
bae,1.0
bci,1.0
klq,0.0
tri,1.0
duc,0.0
kfk,2.0
ifb,0.0
