ISO,Pronominal_and_Adnominal_Demonstratives
luo,1.0
wbv,0.0
heb,0.0
kun,1.0
ayz,0.0
plt,0.0
arz,0.0
lkt,0.0
afr,0.0
ppl,0.0
sja,2.0
bee,2.0
ksq,0.0
kxa,0.0
sza,0.0
tpy,0.0
yue,0.0
aey,0.0
aer,0.0
yad,0.0
apu,0.0
crk,0.0
dar,0.0
ckt,0.0
abt,1.0
tvl,0.0
tzj,0.0
enn,0.0
myp,0.0
niy,0.0
kgo,0.0
kos,0.0
ses,0.0
ace,0.0
khk,2.0
nuy,0.0
ker,0.0
spp,0.0
yux,1.0
cgg,0.0
bkc,1.0
kut,0.0
ram,0.0
lez,2.0
drl,0.0
rap,0.0
wal,1.0
ngi,1.0
bsn,0.0
kan,2.0
pan,0.0
ygr,1.0
eng,0.0
cub,0.0
teu,1.0
pad,0.0
kpw,0.0
ard,0.0
vma,0.0
gyd,0.0
afb,1.0
gug,1.0
hix,0.0
njo,0.0
wrr,0.0
nez,0.0
mni,0.0
mbc,0.0
pon,1.0
kdd,0.0
mlt,0.0
mph,0.0
apy,0.0
kha,0.0
urb,0.0
pav,1.0
mam,1.0
kbd,2.0
qvh,0.0
irk,1.0
hbb,1.0
kln,1.0
mal,2.0
wba,1.0
evn,0.0
kky,0.0
gae,0.0
ess,0.0
wic,0.0
mrc,0.0
skd,0.0
cle,2.0
amp,0.0
imn,0.0
abk,0.0
niv,2.0
kjq,0.0
ewo,0.0
nut,0.0
kas,0.0
myh,0.0
kab,1.0
ddj,0.0
dbl,0.0
pes,2.0
mah,0.0
lif,2.0
hae,0.0
kfz,0.0
xbr,0.0
kat,2.0
laj,1.0
com,0.0
wgy,0.0
hur,1.0
pag,1.0
yee,0.0
ape,0.0
tnc,0.0
one,0.0
uri,0.0
huz,2.0
cku,0.0
wmb,0.0
bsk,2.0
kij,0.0
mlm,1.0
aly,0.0
ain,1.0
xnz,0.0
cmn,0.0
ket,2.0
trp,1.0
fut,0.0
tus,0.0
mkf,0.0
par,0.0
ude,2.0
som,2.0
nav,0.0
nig,0.0
bde,1.0
yor,0.0
dhv,0.0
bav,0.0
swh,0.0
haw,0.0
mar,0.0
