ISO,Position_of_Pronominal_Possessive_Affixes
ncj,2.0
set,1.0
tzm,0.0
djk,1.0
lgu,0.0
tcg,1.0
siz,0.0
aly,0.0
bll,2.0
nhg,2.0
oon,0.0
mjd,2.0
bae,2.0
ndo,0.0
azb,0.0
ajg,0.0
rwa,1.0
wos,0.0
mph,2.0
wam,2.0
dih,2.0
myv,0.0
urb,2.0
tun,2.0
shp,1.0
caq,1.0
sat,0.0
crd,3.0
afb,0.0
tbi,0.0
klj,0.0
trp,2.0
btx,0.0
kan,1.0
tmd,3.0
dgl,2.0
chh,2.0
lwo,0.0
kla,1.0
pym,0.0
svs,1.0
moh,2.0
mur,0.0
kbc,2.0
nab,2.0
xaw,0.0
blb,2.0
vma,0.0
tcf,0.0
nym,1.0
nid,0.0
niu,1.0
ses,1.0
kee,2.0
mls,0.0
qum,2.0
myu,2.0
sbe,0.0
doo,0.0
teo,3.0
miq,0.0
arr,2.0
ywt,1.0
rgr,2.0
abk,2.0
bkc,0.0
cle,3.0
jeb,0.0
adi,1.0
brm,0.0
clo,2.0
aey,0.0
lec,2.0
tms,0.0
mfi,0.0
gdm,0.0
bbd,0.0
bhg,1.0
ngo,1.0
isi,1.0
gae,2.0
mnx,2.0
nio,0.0
aij,0.0
gaj,2.0
dni,2.0
wol,0.0
bhw,0.0
nus,0.0
pia,2.0
gvs,0.0
gru,0.0
lep,1.0
xal,0.0
kky,1.0
tll,1.0
cku,2.0
lmc,3.0
asa,0.0
mdj,0.0
shy,0.0
bot,0.0
ttr,0.0
kyc,1.0
paw,2.0
ket,2.0
gvf,0.0
wlo,0.0
boi,2.0
kyq,0.0
szp,2.0
krs,0.0
cho,2.0
tlb,2.0
apr,0.0
kjq,2.0
stp,2.0
pau,0.0
kuz,2.0
mnr,2.0
snf,0.0
axb,3.0
kfz,1.0
amo,0.0
eky,1.0
niv,2.0
tpy,3.0
lml,0.0
snc,0.0
cup,2.0
enx,2.0
som,0.0
unr,0.0
kca,0.0
had,2.0
yux,0.0
rif,0.0
ngi,0.0
sad,1.0
xra,2.0
zgb,1.0
yuc,2.0
poi,2.0
kpy,1.0
khq,1.0
adj,1.0
spp,1.0
wwr,2.0
nck,2.0
kha,1.0
kkk,0.0
alh,0.0
chv,0.0
sei,2.0
bbc,0.0
bor,2.0
thd,1.0
hur,0.0
ker,0.0
sba,0.0
aph,2.0
djj,3.0
mau,0.0
klr,2.0
ram,2.0
jbu,1.0
nez,2.0
cco,3.0
wic,2.0
oss,1.0
guk,0.0
nlg,0.0
dip,0.0
nas,2.0
sip,1.0
kld,1.0
tiw,1.0
ayo,2.0
yle,2.0
des,1.0
yad,2.0
ann,1.0
ibd,2.0
nmd,1.0
mfc,2.0
cbi,1.0
vai,1.0
ayz,2.0
kwn,0.0
mbp,1.0
yrk,0.0
xsu,1.0
nbl,1.0
pao,1.0
tio,0.0
luo,0.0
agg,1.0
tir,0.0
lln,0.0
tob,2.0
maq,0.0
vay,1.0
jae,0.0
tbl,0.0
ach,0.0
cir,0.0
mik,2.0
jup,1.0
huv,2.0
tna,1.0
rou,2.0
jaq,2.0
